accommodation_name,accommodation_address,accommodation_rating,accommodation_city
Gateway on Monash Hotel,"630 Blackburn Rd, Notting Hill VIC 3168, Australia",4.0,WANTIRNA SOUTH
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,WANTIRNA SOUTH
Novotel Melbourne Glen Waverley,"285 Springvale Rd, Glen Waverley VIC 3150, Australia",4.3,WANTIRNA SOUTH
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,WANTIRNA SOUTH
Quest Burwood East,"315 Burwood Hwy, Burwood East VIC 3151, Australia",4.7,WANTIRNA SOUTH
Sandown Regency,"477-481 Princes Hwy, Noble Park VIC 3174, Australia",3.3,WANTIRNA SOUTH
Morwell Motel,"259 Princes Dr, Morwell VIC 3840, Australia",4.3,MORWELL
Parkside Motel,"245 Princes Dr, Morwell VIC 3840, Australia",3.7,MORWELL
503 On Princes Drive Motel,"503 Princes Dr, Morwell VIC 3840, Australia",4.0,MORWELL
Mid valley Motel,"14 Chickerell St, Morwell VIC 3840, Australia",4.3,MORWELL
Always Welcome Motel,"7 Maryvale Cres, Morwell VIC 3840, Australia",4.1,MORWELL
Coal Valley Motor Inn,"141 Princes Dr, Morwell VIC 3840, Australia",4.5,MORWELL
"Farnham Court Motel, Restaurant & Conferencing","24/30 Princes Dr, Morwell VIC 3840, Australia",4.6,MORWELL
City Gardens Motel,"80 Argyle St, Traralgon VIC 3844, Australia",4.4,MORWELL
Bridges on Argyle Motel,"84/90 Argyle St, Traralgon VIC 3844, Australia",4.6,MORWELL
Best Western Governor Gipps Motor Inn,"59/63 Argyle St, Traralgon VIC 3844, Australia",3.7,MORWELL
Motel Traralgon,"Princes Hwy &, Lodge Dr, Traralgon VIC 3844, Australia",4.2,MORWELL
Strzelecki Motor Lodge,"54 Argyle St, Traralgon VIC 3844, Australia",3.4,MORWELL
Connell's Motel,"144 Princes Hwy, Traralgon VIC 3844, Australia",4.3,MORWELL
Moe Parklands Motel,"98-110 Narracan Dr, Newborough VIC 3825, Australia",4.1,MORWELL
Moe Motor Inn,"3-13 Fowler St, Moe VIC 3825, Australia",4.0,MORWELL
Matchbox Gallery,"36 Main St, Yinnar VIC 3869, Australia",4.5,MORWELL
Wedderburn Goldseeker Motel,"43-49 High St, Wedderburn VIC 3518, Australia",4.3,WEDDERBURN
Central Highlands Motor Inn,"104 High St, Kyneton VIC 3444, Australia",4.2,KYNETON
Kyneton Springs Motel,"101 Piper St, Kyneton VIC 3444, Australia",3.6,KYNETON
Newmarket Kyneton Hotel,"98/100 Mollison St, Kyneton VIC 3444, Australia",3.6,KYNETON
Shamrock Hotel,"120 Mollison St, Kyneton VIC 3444, Australia",4.2,KYNETON
Malmsbury Hotel & Motel,"Malmsbury Motel, 85 Mollison St, Malmsbury VIC 3446, Australia",4.2,KYNETON
Goldies on Piper Kyneton,"92 Piper St, Kyneton VIC 3444, Australia",0.0,KYNETON
Kyneton Bushland Resort,"252 Edgecombe Rd, Kyneton VIC 3444, Australia",4.5,KYNETON
Flop House,"60/58 Piper St, Kyneton VIC 3444, Australia",4.3,KYNETON
Flynns Hill,"114 Flynns Ln, Kyneton VIC 3444, Australia",4.4,KYNETON
Isabella at Kyneton,"10 Bowen St, Kyneton VIC 3444, Australia",5.0,KYNETON
Blue Rosella on Piper,"3/15A Piper St, Kyneton VIC 3444, Australia",2.2,KYNETON
Saint Agnes Homestead,"30 Burton Ave, Kyneton VIC 3444, Australia",4.7,KYNETON
Rostrevor Cottage Kyneton,"39 Lauriston-Drummond Rd, Drummond VIC 3461, Australia",5.0,KYNETON
Piper and Powlett,"63 Piper St, Kyneton VIC 3444, Australia",5.0,KYNETON
Kyneton Ridge Winery,"517 Blackhill Rd, Kyneton VIC 3444, Australia",4.7,KYNETON
Destination Kyneton,"176 Mollison St, Kyneton VIC 3444, Australia",5.0,KYNETON
Oak Hill Woodend,"29 Waterworks Rd, Woodend VIC 3442, Australia",5.0,KYNETON
The Cosmopolitan Hotel,"21 High St, Trentham VIC 3458, Australia",4.3,KYNETON
B&B on Piper,"81 Piper St, Kyneton VIC 3444, Australia",4.5,KYNETON
Hedge Farm,"124 Three Chain Rd, Carlsruhe VIC 3442, Australia",5.0,KYNETON
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,DONCASTER
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,DONCASTER
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,DONCASTER
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,DONCASTER
Eltham Motor Inn,"1450 Main Rd, Eltham VIC 3095, Australia",4.1,DONCASTER
Greensborough Motor Inn,"245 Greensborough Rd, Macleod VIC 3085, Australia",3.7,DONCASTER
Eltham Retreat,"158 Bolton St, Eltham VIC 3095, Australia",2.5,DONCASTER
Warrandyte Goldfields B & B,"1/3 Whipstick Gully Rd, Warrandyte VIC 3113, Australia",4.9,DONCASTER
TWO FIVE ZERO / RICHMOND,"Burnley St, Richmond VIC 3121, Australia",5.0,DONCASTER
Centrepoint Units,"5/81 Lower Heidelberg Rd, Ivanhoe VIC 3079, Australia",0.0,DONCASTER
Yarra House Guest Rooms,"Yarra House, Fairfield VIC 3078, Australia",0.0,DONCASTER
1101 Ivanhoe Apartments,"Unit 1101/443 Upper Heidelberg Rd, Ivanhoe VIC 3079, Australia",5.0,DONCASTER
Mansfield Valley Motor Inn,"2 Elvins St, Mansfield VIC 3722, Australia",3.7,MANSFIELD
Mansfield Motel,"3 Highett St, Mansfield VIC 3722, Australia",4.2,MANSFIELD
Mansfield Accommodation - Elouera,"2 Ryan St, Mansfield VIC 3722, Australia",3.0,MANSFIELD
Delatite Station - Accommodation Mansfield,"361 Delatite Road (also Lane), Mansfield VIC 3722, Australia",4.5,MANSFIELD
Daysend Cottages Merrijig Australia,"2 Merrijig Pl, Merrijig VIC 3723, Australia",4.8,MANSFIELD
Buttercup Cottage,"271 Buttercup Rd, Merrijig VIC 3723, Australia",4.7,MANSFIELD
Black Horse Park,"217 Desmonds Rd, Boorolite VIC 3723, Australia",5.0,MANSFIELD
The Black Sparrow,"2595 Mansfield-Woods Point Rd, Howqua Inlet VIC 3723, Australia",4.7,MANSFIELD
Alpine Farmstay Apartments,"163 Killarney Ln, Merrijig VIC 3723, Australia",5.0,MANSFIELD
Moore House,"1467 Mansfield-Woods Point Rd, Piries VIC 3723, Australia",5.0,MANSFIELD
Robyns Nest Country Cottages,"2 Kidston Parade, Mansfield VIC 3722, Australia",0.0,MANSFIELD
Delatite Apartments Timbertop and Fir,"Lots 9 and 10, Omega St, Merrijig VIC 3723, Australia",5.0,MANSFIELD
Kallarroo Lakefront Homes,"Howqua Inlet VIC 3723, Australia",5.0,MANSFIELD
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,FOOTSCRAY
Plough Hotel Footscray,"333 Barkly St, Footscray VIC 3011, Australia",4.3,FOOTSCRAY
The Footscray Hotel,"48 Hopkins St, Footscray VIC 3011, Australia",4.7,FOOTSCRAY
The Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",3.8,FOOTSCRAY
Palms Motel,"50 Geelong Rd, Footscray VIC 3011, Australia",2.5,FOOTSCRAY
Newport Homestay & Lodge,"481 Melbourne Rd, Newport VIC 3015, Australia",4.6,FOOTSCRAY
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,FOOTSCRAY
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,FOOTSCRAY
Discovery Parks - Melbourne,"129 Ashley St, Braybrook VIC 3019, Australia",4.2,FOOTSCRAY
Quest Maribyrnong,"2A Wests Rd, Maribyrnong VIC 3032, Australia",4.6,FOOTSCRAY
Ashley Hotel,"226 Ballarat Rd, Braybrook VIC 3019, Australia",3.9,FOOTSCRAY
The Red Door Footscray,"2/50 Liverpool St, Footscray VIC 3011, Australia",0.0,FOOTSCRAY
Park Squire Motor Inn & Serviced Apartments,"94 Flemington Rd, Parkville VIC 3052, Australia",3.7,FOOTSCRAY
Miami Hotel Melbourne,"13 Hawke St, West Melbourne VIC 3003, Australia",4.1,FOOTSCRAY
Quest Flemington,"600 Epsom Rd, Flemington VIC 3031, Australia",4.2,FOOTSCRAY
Private Luxury Bedroom,"2/19 Errol St, Footscray VIC 3011, Australia",0.0,FOOTSCRAY
Atlantis Hotel,"300 Spencer St, Melbourne VIC 3000, Australia",4.0,FOOTSCRAY
The Great Southern Hotel Melbourne,"44 Spencer St, Melbourne VIC 3000, Australia",3.7,FOOTSCRAY
Summer's Holiday Inn,"494 Victoria St, North Melbourne VIC 3051, Australia",4.9,FOOTSCRAY
Stay Belgravia,"69 Hyde St, Footscray VIC 3011, Australia",5.0,FOOTSCRAY
Ringwood Lake Inn,"327 Maroondah Hwy, Melbourne VIC 3134, Australia",3.9,RINGWOOD
Quality Hotel Manor,"669 Maroondah Hwy, Mitcham VIC 3132, Australia",3.8,RINGWOOD
Sage Hotel Melbourne Ringwood,"F5 Eastland Shopping Centre, 211 Maroondah Hwy, Ringwood VIC 3134, Australia",4.3,RINGWOOD
Nightcap at Manhattan Hotel,"Cnr Heatherdale & Canterbury Roads, Ringwood VIC 3134, Australia",5.0,RINGWOOD
Ringwood Motel,"442 Maroondah Hwy, Croydon VIC 3136, Australia",2.9,RINGWOOD
The Sebel Melbourne Ringwood,"96/98 Maroondah Hwy, Ringwood VIC 3134, Australia",0.0,RINGWOOD
Ringwood Royale Serviced Apartments,"N/6 Warrandyte Rd, Ringwood VIC 3134, Australia",4.7,RINGWOOD
Nunawading Motor Inn,"245 Whitehorse Rd, Nunawading VIC 3131, Australia",3.5,RINGWOOD
The Burvale Hotel,"Cnr Springvale Rd &, Burwood Hwy, Nunawading VIC 3131, Australia",3.8,RINGWOOD
Dorset Gardens Hotel,"335 Dorset Rd, Croydon VIC 3136, Australia",3.8,RINGWOOD
Manhattan Hotel,"Heatherdale Road &, Canterbury Rd, Ringwood VIC 3134, Australia",3.8,RINGWOOD
Beau Monde International,"934 Doncaster Rd, Doncaster East VIC 3109, Australia",3.9,RINGWOOD
Hotel Cavalier,"343 Stud Rd, Wantirna South VIC 3152, Australia",3.3,RINGWOOD
Victoria House Motor Inn,"331 Maroondah Hwy, Croydon VIC 3136, Australia",4.5,RINGWOOD
Knox International Hotel and Apartments,"137 Mountain Hwy, Wantirna VIC 3152, Australia",3.3,RINGWOOD
Australian Home Away Bardia Ringwood,"21-23 Bardia St, Ringwood VIC 3134, Australia",4.5,RINGWOOD
Golden Pebble Hotel,"500 Boronia Rd, Wantirna VIC 3152, Australia",3.7,RINGWOOD
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,RINGWOOD
Shoppingtown Hotel,"19 Williamsons Rd, Doncaster VIC 3108, Australia",3.9,RINGWOOD
The Waverley International Hotel,"301 Springvale Rd, Glen Waverley VIC 3150, Australia",3.8,RINGWOOD
City Square Motel,"67 Swanston St, Melbourne VIC 3000, Australia",3.8,MELBOURNE
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,MELBOURNE
Como Court,"53 Barkly St, Melbourne VIC 3182, Australia",3.1,MELBOURNE
Katie's Antique House,"54 Oxford Dr, Thomastown VIC 3074, Australia",1.0,MELBOURNE
Brady Hotels Jones Lane,"111 Little Lonsdale St, Melbourne VIC 3000, Australia",4.5,MELBOURNE
Georgian Court Bed and Breakfast,"21 George St, East Melbourne VIC 3002, Australia",3.2,MELBOURNE
Radisson on Flagstaff Gardens Melbourne,"380 William St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,MELBOURNE
The Hotel Windsor,"111 Spring St, Melbourne VIC 3000, Australia",4.3,MELBOURNE
Best hostel,"238 Victoria St, North Melbourne VIC 3051, Australia",3.3,MELBOURNE
The Nunnery Accommodation,"116 Nicholson St, Fitzroy VIC 3065, Australia",4.1,MELBOURNE
Birches Serviced Apartments,"160 Simpson St, East Melbourne VIC 3002, Australia",4.0,MELBOURNE
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,MELBOURNE
Sixty Two On Grey,"62 Grey St, St Kilda VIC 3182, Australia",3.8,MELBOURNE
Turnkey Accommodation,"33 Blackwood St, North Melbourne VIC 3051, Australia",4.8,MELBOURNE
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,MELBOURNE
Carlton Terrace Studios & Townhouse,"196 Drummond St, Carlton VIC 3053, Australia",4.4,MELBOURNE
Coppersmith Hotel,"435 Clarendon St, South Melbourne VIC 3205, Australia",4.4,MELBOURNE
Causeway Inn On The Mall,"327 Bourke St, Melbourne VIC 3000, Australia",3.6,MELBOURNE
The Best Western Plus Travel Inn Hotel,"225 Drummond St, Carlton VIC 3053, Australia",4.1,MELBOURNE
Melton Motor Inn,"344 High St, Melton VIC 3337, Australia",4.0,MELTON
Mantra Melbourne Melton,"2 Ferris Rd, Melton South VIC 3338, Australia",4.1,MELTON
Melbourne Garden Bed & Breakfast,"35 Outlook Ride, Kurunjang VIC 3337, Australia",4.8,MELTON
Bacchus Marsh Avenue Motel,"272 Main St, Bacchus Marsh VIC 3340, Australia",3.5,MELTON
Tabcorp Park,"2 Ferris Rd, Melton VIC 3337, Australia",4.2,MELTON
Quest Caroline Springs,"234 Caroline Springs Blvd, Caroline Springs VIC 3023, Australia",3.9,MELTON
Apple House,"9 Prism St, Tarneit VIC 3029, Australia",4.1,MELTON
Taylors Lakes Hotel,"7 Melton Hwy, Taylors Lakes VIC 3038, Australia",4.2,MELTON
Sunnyside Villa,"271-273 Main St, Bacchus Marsh VIC 3340, Australia",4.8,MELTON
The Black Horse Hotel,"80 Bulla Rd, Bulla VIC 3428, Australia",4.1,MELTON
West City Motel,"610 Ballarat Rd, Ardeer VIC 3022, Australia",3.5,MELTON
Boyd Baker House,"305-307 Long Forest Rd, Long Forest VIC 3340, Australia",3.7,MELTON
Kepha House,"Canterbury Cct, Melton South VIC 3338, Australia",0.0,MELTON
Gisborne Motel,"106 Sheedy Rd, Gisborne VIC 3437, Australia",3.9,MELTON
Plumpton Estate Private,"1912/1962A Melton Hwy, Plumpton VIC 3335, Australia",0.0,MELTON
Bacchus Marsh Caravan Park,"26 Main St, Bacchus Marsh VIC 3340, Australia",4.2,MELTON
WestWaters Hotel & Entertainment Complex,"10/20 Lake St, Caroline Springs VIC 3023, Australia",4.1,MELTON
Glengala Hotel,"214 Glengala Rd, Sunshine VIC 3020, Australia",3.7,MELTON
The Plough @ Myrniong,"17 Main St, Myrniong VIC 3341, Australia",4.6,MELTON
Sandors Motor Inn,"179 Deakin Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Early Australian Motor Inn,"453/455 Deakin Ave, Mildura VIC 3500, Australia",4.0,MILDURA
Mildura Plaza Motor Inn,"836 Calder Hwy, Mildura VIC 3500, Australia",4.4,MILDURA
River City Motel,"830 Fifteenth St, Mildura VIC 3500, Australia",4.6,MILDURA
City Colonial Motor Inn,"24-30 Madden Ave, Mildura VIC 3500, Australia",4.8,MILDURA
Seven Pines Motor Inn,"157 Seventh St, Mildura VIC 3500, Australia",4.4,MILDURA
Vineland Motel,"363-365 Deakin Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Central Motel Mildura,"125 Madden Ave, Mildura VIC 3500, Australia",4.5,MILDURA
7th Street Motel,"153 Seventh St, Mildura VIC 3500, Australia",4.1,MILDURA
Orana Motor Inn,"2101 Fifteenth St, Irymple VIC 3498, Australia",4.4,MILDURA
Mildura Motor Inn,"376 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Mildura Riverview Motel,"72-74 Adelaide St, Gol Gol NSW 2739, Australia",4.4,MILDURA
Commodore Motel,"18 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Mid City Plantation Motel,"145 Deakin Ave, Mildura VIC 3550, Australia",4.1,MILDURA
Boulevard Motor Inn,"385 Deakin Ave, Mildura VIC 3500, Australia",4.5,MILDURA
Sunraysia Motel & Holiday Apartments,"441 Deakin Ave, Mildura VIC 3500, Australia",4.1,MILDURA
Mildura Golf Resort,"287 Twelfth St, Mildura VIC 3500, Australia",4.0,MILDURA
Sun River Resort Motel,"5 Silver City Hwy, Buronga NSW 2739, Australia",4.0,MILDURA
Stopover,"29 Lemon Ave, Mildura VIC 3500, Australia",4.3,MILDURA
Red Cliffs Colonial Motel,"17 Jacaranda St, Red Cliffs VIC 3496, Australia",4.2,MILDURA
Sugarloaf Motel,"3 Short St, Broadford VIC 3658, Australia",4.3,BROADFORD
Fox On The Run Motel,"95 Sydney St, Kilmore VIC 3764, Australia",4.3,BROADFORD
Commercial Hotel Broadford,"31 High St, Broadford VIC 3658, Australia",4.2,BROADFORD
Country Budget,"57 Englishs Rd, Broadford VIC 3658, Australia",0.0,BROADFORD
Hickey Vale Farm Lodge,"135 B Elliotts Rd, Broadford VIC 3658, Australia",5.0,BROADFORD
Royal Oak Hotel,"29/31 Sydney St, Kilmore VIC 3764, Australia",3.8,BROADFORD
Tallarook Hotel,"15 Main Rd, Tallarook VIC 3659, Australia",4.5,BROADFORD
Bindley House B&B Cottages,"20-22 Powlett St, Kilmore VIC 3764, Australia",4.9,BROADFORD
Wandong Australiana Motel Tavern,"Broadhurst Ln, Wandong VIC 3758, Australia",3.4,BROADFORD
Yeoy's Place,"40 Kippings Ln, Tallarook VIC 3659, Australia",4.9,BROADFORD
Wattle Motel,"9 Emily St, Seymour VIC 3660, Australia",4.3,BROADFORD
Halls on Falls Homestead,"440/444 Falls Ln, Strath Creek VIC 3658, Australia",5.0,BROADFORD
Kilmore Caravan Park,"108/110 Northern Hwy, Kilmore VIC 3764, Australia",3.7,BROADFORD
The Flowerdale Hotel,"3325 Whittlesea-Yea Rd, Flowerdale VIC 3717, Australia",4.3,BROADFORD
Seven Hills Tallarook,"160 Scotts Rd, Tallarook VIC 3659, Australia",4.2,BROADFORD
Kestrel Motor Inn,"99 Powlett St, Kilmore VIC 3764, Australia",2.1,BROADFORD
Trawool Cottages and Farmstay,"8447 Goulburn Valley Hwy, Trawool VIC 3660, Australia",4.4,BROADFORD
Flowerdale Estate,"2285 Broadford-Flowerdale Rd, Strath Creek VIC 3658, Australia",4.7,BROADFORD
The Trawool Estate,"8150 Goulburn Valley Hwy, Trawool VIC 3660, Australia",4.9,BROADFORD
Strath Valley View Bed & Breakfast,"1204 King Parrot Creek Rd, Strath Creek VIC 3658, Australia",5.0,BROADFORD
Regency Court Motel,"1 Main St, Cobram VIC 3644, Australia",4.5,COBRAM
Sunrise Motel,"85-87 Vermont St, Barooga NSW 3644, Australia",4.7,COBRAM
Cobram Central Motor Inn,"113-115 Station St, Cobram VIC 3644, Australia",2.5,COBRAM
Bullanginya Lodge,"7 Banker St, Barooga NSW 3644, Australia",4.4,COBRAM
El Sierra Motel,"183 Golf Course Rd, Barooga NSW 3644, Australia",4.0,COBRAM
Barooga River Gums Motor Inn,"15-17 Golf Course Rd, Barooga NSW 3644, Australia",4.8,COBRAM
Barooga Country Inn Motel,"Golf Course Rd, Barooga NSW 3644, Australia",4.3,COBRAM
Cobram Barooga Golf Resort,"105 Golf Course Rd, Barooga NSW 3644, Australia",4.1,COBRAM
Gazebo Motor Inn,"84-88 Main Street, Strathmerton VIC 3641, Australia",4.1,COBRAM
Barooga Golf View Motel,"Golf Course Rd, Barooga NSW 3644, Australia",4.2,COBRAM
Bakery Park Motor Inn,"85 Deniliquin St, Tocumwal NSW 2714, Australia",4.5,COBRAM
Sunset Villas Cobram,"4072 Murray Valley Hwy, Cobram VIC 3644, Australia",4.1,COBRAM
Kingswood Motel,"22-26 Kelly St, Tocumwal NSW 2714, Australia",4.4,COBRAM
High Noon Motel,"Barooga NSW 3644, Australia",3.0,COBRAM
Early Settlers Motel,"14 Barooga Rd, Tocumwal NSW 2714, Australia",3.9,COBRAM
Fairway Views Motor Inn Tocumwal,"32-34 Barooga Road, Tocumwal NSW 2714, Australia",4.8,COBRAM
Kanimbla Motor Inn,"41-47 Finley St, Tocumwal NSW 2714, Australia",4.3,COBRAM
Greenways Holiday Units,"22-28 Cobram St, Tocumwal NSW 2714, Australia",4.7,COBRAM
Tocumwal Bridge Motor Inn,"26 Bridge St, Tocumwal NSW 2714, Australia",4.5,COBRAM
El Toro Motel,"142 Melville St, Numurkah VIC 3636, Australia",3.9,COBRAM
Burwood East Motel,"355 Blackburn Road, Melbourne (burwood East) VIC 3151, Australia",4.0,GLEN WAVERLEY
Best Western Plus The Tudor,"1101 Whitehorse Rd, Box Hill VIC 3128, Australia",3.6,GLEN WAVERLEY
Lamplighter Motel,"1440 Dandenong Rd, Oakleigh VIC 3166, Australia",3.0,GLEN WAVERLEY
The Mulgrave Motel (Formerly Mulgrave Court Motor Inn),"5 Harcourt Ave, Mulgrave VIC 3170, Australia",3.8,GLEN WAVERLEY
Motel Maroondah,"768 Whitehorse Rd, Mont Albert VIC 3127, Australia",2.5,GLEN WAVERLEY
Chadstone Executive Motel,"1364 Dandenong Rd, Hughesdale VIC 3166, Australia",3.1,GLEN WAVERLEY
Sandown Heritage Motor Inn,"433 Princes Hwy, Noble Park VIC 3174, Australia",3.5,GLEN WAVERLEY
Homelike in Glen Waverley,"569 Waverley Rd, Glen Waverley VIC 3150, Australia",3.4,GLEN WAVERLEY
Ringwood Motel,"442 Maroondah Hwy, Croydon VIC 3136, Australia",2.9,GLEN WAVERLEY
Footscray Motor Inn,"90 Droop St, Footscray VIC 3011, Australia",3.7,MOONEE PONDS
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,MOONEE PONDS
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,MOONEE PONDS
Parkville Motel,"759 Park St, Brunswick VIC 3056, Australia",3.7,MOONEE PONDS
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,MOONEE PONDS
Palms Motel,"50 Geelong Rd, Footscray VIC 3011, Australia",2.5,MOONEE PONDS
Glendalough Bed & Breakfast,"197-199 Cashmere St, Travancore VIC 3032, Australia",4.5,MOONEE PONDS
City Lifestyle Accommodtion,"707/270 King St, Melbourne VIC 3000, Australia",3.5,MOONEE PONDS
Flagstaff City Inn,"45 Dudley St, West Melbourne VIC 3003, Australia",3.2,MOONEE PONDS
Brunswick Studio,"1 Sydney Rd, Brunswick VIC 3056, Australia",0.0,MOONEE PONDS
Meko,"33 Keppel St, Carlton VIC 3053, Australia",5.0,MOONEE PONDS
Medley Hall University Guest Rooms,"48 Drummond St, Carlton VIC 3053, Australia",0.0,MOONEE PONDS
Soho52 Austrailia,"52 Young St, Fitzroy VIC 3065, Australia",0.0,MOONEE PONDS
"Ballan Accommodation ""Horse & Goat"" Self Contained Private Unit","1 Hogan Rd, Ballan VIC 3342, Australia",5.0,BALLAN
Phoenix Park,"5623 Geelong-Ballan Rd, Ballan VIC 3342, Australia",4.3,BALLAN
Vivienne's Retreat,"129 Calway Ln, Gordon VIC 3345, Australia",5.0,BALLAN
Country Gate Cottages,"95 Simpsons Rd, Springbank VIC 3352, Australia",4.8,BALLAN
Bacchus Marsh Avenue Motel,"272 Main St, Bacchus Marsh VIC 3340, Australia",3.5,BALLAN
Garden Beds Glamping,"189 Simmons Reef Rd, Blackwood VIC 3458, Australia",5.0,BALLAN
Coventry Cottage,"48 Golden Point Rd, Blackwood VIC 3458, Australia",4.7,BALLAN
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,COBURG
Brunswick Tower Hotel,"188 Moreland Rd, Brunswick VIC 3056, Australia",3.6,COBURG
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,COBURG
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,COBURG
Artel Apartments Hotel Brunswick,"756 Sydney Rd, Brunswick VIC 3056, Australia",4.4,COBURG
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,COBURG
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,COBURG
The Nunnery Accommodation,"116 Nicholson St, Fitzroy VIC 3065, Australia",4.1,COBURG
The Best Western Plus Travel Inn Hotel,"225 Drummond St, Carlton VIC 3053, Australia",4.1,COBURG
Best Western Fawkner Suites & Serviced Apartments,"1164 Sydney Rd, Fawkner VIC 3060, Australia",4.5,COBURG
StayINN Motel,"844 Sydney Rd, Coburg North VIC 3058, Australia",2.7,COBURG
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,COBURG
Essendon Motel,"93 Bulla Rd, Melbourne VIC 3041, Australia",2.8,COBURG
Adara Brunswick,"343 Sydney Rd, Brunswick VIC 3056, Australia",4.5,COBURG
Punthill Apartment Hotels Essendon,"1142 Mt Alexander Rd, Essendon VIC 3040, Australia",4.1,COBURG
Alexander Motor Inn & Apartments,"980 Mt Alexander Rd, Essendon VIC 3040, Australia",3.4,COBURG
Mantra Bell City Preston,"215 Bell St, Preston VIC 3072, Australia",3.6,COBURG
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,COBURG
Arden Motel,"15 Arden St, North Melbourne VIC 3051, Australia",3.7,COBURG
Moonee Valley Views Apartments,"81-85 Wilson St, Moonee Ponds VIC 3039, Australia",3.9,COBURG
"Admiral Motor Inn, Rosebud Motel","799 Point Nepean Rd, Rosebud VIC 3939, Australia",3.9,ROSEBUD
Rosebud Motel,"1869 Point Nepean Rd, Rosebud VIC 3941, Australia",4.2,ROSEBUD
Rye Beach Motel,"1929 Point Nepean Rd, Rye VIC 3941, Australia",3.9,ROSEBUD
Beach Holiday Apartments Motel,"1571 Point Nepean Rd, Capel Sound VIC 3940, Australia",4.7,ROSEBUD
Bayview Motel Rosebud-Rye,"1795 Point Nepean Rd, Rosebud VIC 3940, Australia",4.3,ROSEBUD
SeaCove on the Beach,"910 Point Nepean Rd, Rosebud VIC 3939, Australia",5.0,ROSEBUD
The Bay Motel - Safety Beach,"21 Nepean Hwy, Dromana VIC 3936, Australia",4.5,ROSEBUD
Yaringa Lodge,"65 Seamists Dr, Arthurs Seat VIC 3936, Australia",5.0,ROSEBUD
Moonlight Bay Apartments,"4 Napier St, Rye VIC 3941, Australia",4.4,ROSEBUD
The Cute Beach House,"16 Murrowong Ave, Rosebud VIC 3939, Australia",3.7,ROSEBUD
Dromana Beach Getaway,"91 Point Nepean Rd, Dromana VIC 3936, Australia",4.6,ROSEBUD
Capel Sound Escapes - Westend Apartment,"2/1635 Point Nepean Rd, Capel Sound VIC 3940, Australia",5.0,ROSEBUD
Aquabelle Apartments,"2333 Point Nepean Rd, Rye VIC 3941, Australia",4.6,ROSEBUD
Blue Moon Cottages - 250m from the bay beach,"12 Blakiston Grove, Rye VIC 3941, Australia",4.9,ROSEBUD
Serenity Guest House Dromana,"2/9 McArthur St, Dromana VIC 3936, Australia",4.0,ROSEBUD
Castlemaine Colonial Motel,"252 Barker St, Castlemaine VIC 3450, Australia",4.5,CASTLEMAINE
Castle Motel,"1 Duke St, Castlemaine VIC 3450, Australia",3.9,CASTLEMAINE
Campbell St Lodge,"33 Campbell St, Castlemaine VIC 3450, Australia",4.5,CASTLEMAINE
Albion Motel Hotel,"152 Duke St, Castlemaine VIC 3450, Australia",4.3,CASTLEMAINE
Twin Palms-Castlemaine,"55 Duke St, Castlemaine VIC 3450, Australia",5.0,CASTLEMAINE
Whispering Gums Motel,"61 Lyons St, Newstead VIC 3462, Australia",4.6,CASTLEMAINE
